,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
128,128.0,7.427566072506345e+18,buy inorganic ultramarine blue 462 matte pigment oxide blue coloring mica powder,Pigment,Chemicals,2.3,100.0,kilograms,5.0,6300000.0
129,129.0,7.427566072506345e+18,buy inorganic ultramarine blue 462 matte pigment oxide blue coloring mica powder,Pigment,Chemicals,1.95,10000.0,kilograms,5.0,6300000.0
130,130.0,3.9587646651957437e+18,fe2o3 industrial grade concrete cement colorant black color pigment powder hyrox iron oxide,Pigment,Chemicals,,,,,10000.0
131,131.0,7.393324892010231e+18,Natural 12001-26-2 food Cosmetic grade Color Pearl Powder pearlescent pigment,Pigment,Chemicals,"['$38.00/kilogram', '']",,,4.9,300000.0
132,132.0,7.345851340079755e+18,Ceramic Pigment Grade Chrome Oxide Green,Pigment,Chemicals,"['$100.00/kilogram', '']",,,5.0,230000.0
133,133.0,-6.354769707384077e+18,Hot sale organic Pigment Red 170 Synthetic Iron Oxide red pigment powder,Pigment,Chemicals,"['$2.85/kilogram', '']",,,4.9,390000.0
134,134.0,-8.810743845825074e+17,Hot Selling Bulk Industrial Grade Natural Colored Pearl Pigment Mica Pearlescent Powder For Paint Price Favorable,Pigment,Chemicals,,,,5.0,1500000.0
135,135.0,1.0728310005337818e+18,cerium sulfide red pigment,Pigment,Chemicals,65.0,20.0,kilograms,5.0,
136,136.0,1.0728310005337818e+18,cerium sulfide red pigment,Pigment,Chemicals,60.0,25.0,kilograms,5.0,
137,137.0,1.0728310005337818e+18,cerium sulfide red pigment,Pigment,Chemicals,55.0,100.0,kilograms,5.0,
138,138.0,1.0728310005337818e+18,cerium sulfide red pigment,Pigment,Chemicals,50.0,1000.0,kilograms,5.0,
139,139.0,7.58149016606723e+18,Floating flake pigment Copper gold powder Red copper gold powder Bronze gold powder,Pigment,Chemicals,15.0,1.0,kilograms,4.9,50000.0
